/////	--LOCALE TABLE GENERATED BY TempResearchCombiner.py--
//	--        UPGRADES        --
filerange 15934 17093
rangestart 15934 17093
/////	--        HIIGARAN        --
15971	<b>Effect</b>\n<c=41af41>+45% Fighter health</c>\n<c=9d9ddf>Cost: 600 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nDefense Control Tower</c>
15972	1/3 Corvette Health
15973	<b>Effect</b>\n<c=41af41>+40% Corvette health</c>\n<c=9d9ddf>Cost: 700 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nDefense Control Tower</c>
15974	1/3 Frigate Health
15975	<b>Effect</b>\n<c=41af41>+35% Frigate health</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nDefense Control Tower</c>
15976	1/3 Platform Health
15977	<b>Effect</b>\n<c=41af41>+30% Platform health</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nResearch Division\nDefense Control Tower</c>
15978	1/3 Capital Health
15979	<b>Effect</b>\n<c=41af41>+30% Capital health</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 100 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nResearch Division\nDefense Control Tower</c>
15980	Health: Level 2
15981	2/3 Utility Health
15982	<b>Effect</b>\n<c=41af41>+30% Utility health</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nDefense Control Tower</c>
15983	2/3 Fighter Health
15984	<b>Effect</b>\n<c=41af41>+45% Fighter health</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division\nDefense Control Tower</c>
15985	2/3 Corvette Health
15986	<b>Effect</b>\n<c=41af41>+40% Corvette health</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nScience Division\nDefense Control Tower</c>
15987	2/3 Frigate Health
15988	<b>Effect</b>\n<c=41af41>+35% Frigate health</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nDefense Control Tower</c>
15989	2/3 Platform Health
15990	<b>Effect</b>\n<c=41af41>+30% Platform health</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division\nDefense Control Tower</c>
15991	2/3 Capital Health
15992	<b>Effect</b>\n<c=41af41>+30% Capital health</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 150 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nDefense Control Tower</c>
15993	Health: Level 3
15994	3/3 Utility Health
15995	<b>Effect</b>\n<c=41af41>+40% Utility health</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nDefense Control Tower</c>
15996	3/3 Fighter Health
15997	<b>Effect</b>\n<c=41af41>+45% Fighter health</c>\n<c=9d9ddf>Cost: 2400 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nEngineering Division\nDefense Control Tower</c>
15998	3/3 Corvette Health
15999	<b>Effect</b>\n<c=41af41>+40% Corvette health</c>\n<c=9d9ddf>Cost: 2800 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nDefense Control Tower</c>
16000	3/3 Frigate Health
16001	<b>Effect</b>\n<c=41af41>+35% Frigate health</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nEngineering Division\nDefense Control Tower</c>
16002	3/3 Platform Health
16003	<b>Effect</b>\n<c=41af41>+40% Platform health</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nEngineering Division\nDefense Control Tower</c>
16004	3/3 Capital Health
16005	<b>Effects</b>\n<c=41af41>+40% Capital health\n+90% Mothership health</c>\n<c=9d9ddf>Cost: 4000 RUs\nTime: 200 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nEngineering Division\nDefense Control Tower</c>
16006	Drop-Off: Level 1
16007	1/3 Collector Drop-Off
16008	<b>Effect</b>\n<c=41af41>+25% RUs drop-off</c>\n<c=9d9ddf>Cost: 700 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nHarvest Control Module</c>
16009	Drop-Off: Level 2
16010	2/3 Collector Drop-Off
16011	<b>Effect</b>\n<c=41af41>+25% RUs drop-off</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nHarvest Control Module</c>
16012	Drop-Off: Level 3
16013	3/3 Collector Drop-Off
16014	<b>Effect</b>\n<c=41af41>+30% RUs drop-off</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nHarvest Control Module</c>
16015	Load: Level 1
16016	1/3 Collector Load
16017	<b>Effect</b>\n<c=41af41>+25% RUs load</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nHarvest Control Module</c>
16018	Load: Level 2
16019	2/3 Collector Load
16020	<b>Effect</b>\n<c=41af41>+25% RUs load</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nHarvest Control Module</c>
16021	Load: Level 3
16022	3/3 Collector Load
16023	<b>Effect</b>\n<c=41af41>+30% RUs load</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nHarvest Control Module</c>
16024	Harvest: Level 1
16025	1/3 Collector Harvest
16026	<b>Effect</b>\n<c=41af41>+25% RUs harvest</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nHarvest Control Module</c>
16027	Harvest: Level 2
16028	2/3 Collector Harvest
16029	<b>Effect</b>\n<c=41af41>+25% RUs harvest</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nHarvest Control Module</c>
16030	Harvest: Level 3
16031	3/3 Collector Harvest
16032	<b>Effect</b>\n<c=41af41>+30% RUs harvest</c>\n<c=9d9ddf>Cost: 2100 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nHarvest Control Module</c>
16042	Mining: Level 1
16043	1/3 Collector Mining
16044	<b>Effect</b>\n<c=41af41>+25% mining rate</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nMining Base</c>
16045	Mining: Level 2
16046	2/3 Collector Mining
16047	<b>Effect</b>\n<c=41af41>+25% mining rate</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nMining Base</c>
16048	Mining: Level 3
16049	3/3 Collector Mining
16050	<b>Effect</b>\n<c=41af41>+30% mining rate</c>\n<c=9d9ddf>Cost: 2100 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nMining Base</c>
16051	Refinery Fusion: Level 1
16052	1/3 Refinery Fusion
16053	<b>Effect</b>\n<c=41af41>Fuse 20 RUs every 10 s (per ship)</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 85 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nFusion Control Module</c>
16054	Refinery Fusion: Level 2
16055	2/3 Refinery Fusion
16056	<b>Effect</b>\n<c=41af41>Fuse 30 RUs every 10 s (per ship)</c>\n<c=9d9ddf>Cost: 6000 RUs\nTime: 95 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nFusion Control Module</c>
16057	Refinery Fusion: Level 3
16058	3/3 Refinery Fusion
16059	<b>Effect</b>\n<c=41af41>Fuse 40 RUs every 10 s (per ship)</c>\n<c=9d9ddf>Cost: 9000 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nFusion Control Module</c>
16060	RU Fusion: Level 1
16061	1/3 Scav Fusion
16062	<b>Effect</b>\n<c=41af41>Fuse 60 RUs every 10 s (per ship)</c>\n<c=9d9ddf>Cost: 3000 RUs\nTime: 85 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nFusion Control Module</c>
16063	RU Fusion: Level 2
16064	2/3 Scav Fusion
16065	<b>Effect</b>\n<c=41af41>Fuse 90 RUs every 10 s (per ship)</c>\n<c=9d9ddf>Cost: 6000 RUs\nTime: 95 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nFusion Control Module</c>
16066	RU Fusion: Level 3
16067	3/3 Scav Fusion
16068	<b>Effect</b>\n<c=41af41>Fuse 120 RUs every 10 s (per ship)</c>\n<c=9d9ddf>Cost: 9000 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nFusion Control Module</c>
16069	Container Drop-Off: Level 1
16070	1/3 Container Drop-Off
16071	<b>Effect</b>\n<c=41af41>+25% RUs drop-off</c>\n<c=9d9ddf>Cost: 700 RUs\nTime: 40 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nMining Base</c>
16072	Container Drop-Off: Level 2
16073	2/3 Container Drop-Off
16074	<b>Effect</b>\n<c=41af41>+25% RUs drop-off</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nMining Base</c>
16075	Container Drop-Off: Level 3
16076	3/3 Container Drop-Off
16077	<b>Effect</b>\n<c=41af41>+30% RUs drop-off</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 55 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nMining Base</c>
16078	Container Load: Level 1
16079	1/3 Container Load
16080	<b>Effect</b>\n<c=41af41>+25% RUs load</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nMining Base</c>
16081	Container Load: Level 2
16082	2/3 Container Load
16083	<b>Effect</b>\n<c=41af41>+25% RUs load</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nMining Base</c>
16084	Container Load: Level 3
16085	3/3 Container Load
16086	<b>Effect</b>\n<c=41af41>+30% RUs load</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nMining Base</c>
16087	Container Store: Level 1
16088	1/3 Container Store
16089	<b>Effect</b>\n<c=41af41>+25% RUs store</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division\nMining Base</c>
16090	Container Store: Level 2
16091	2/3 Container Store
16092	<b>Effect</b>\n<c=41af41>+25% RUs store</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division\nMining Base</c>
16093	Container Store: Level 3
16094	3/3 Container Store
16095	<b>Effect</b>\n<c=41af41>+30% RUs store</c>\n<c=9d9ddf>Cost: 2100 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division\nMining Base</c>
16096	Convoy Trade: Level 1
16097	1/3 Convoy Trade
16098	<b>Effect</b>\n<c=41af41>+25% RUs load</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 50 s</c>\n<b>Requires:</b>\n<c=e7bd59>Research Division</c>
16099	Convoy Trade: Level 2
16100	2/3 Convoy Trade
16101	<b>Effect</b>\n<c=41af41>+25% RUs load</c>\n<c=9d9ddf>Cost: 1200 RUs\nTime: 60 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division</c>
16102	Convoy Trade: Level 3
16103	3/3 Convoy Trade
16104	<b>Effect</b>\n<c=41af41>+25% RUs load</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Engineering Division</c>
16105	Improved Distortion System
16106	Sensor Distort Probe+
16107	<b>Effect</b>\n<c=41af41>+30% distortion effect</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 65 s</c>\n<b>Requires:</b>\n<c=e7bd59>Science Division</c>
16108	Squadron Size
16109	Fighter Squad+
16110	<b>Effects</b>\n<c=41af41>+2 Squad Size\nCost +40-70%</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 135 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division</c>
16111	Corvette Squad+
16112	<b>Effects</b>\n<c=41af41>+2 Squadron size\n+60-70% Cost</c>\n<c=9d9ddf>Cost: 4000 RUs\nTime: 200 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division</c>
16113	Weapon Accuracy: Level 1
16114	1/3 Fighter Accuracy
16115	<b>Effect</b>\n<c=41af41>+11% Fighter weapon accuracy</c>\n<c=9d9ddf>Cost: 700 RUs\nTime: 70 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nFire Control Tower</c>
16116	1/3 Corvette Accuracy
16117	<b>Effect</b>\n<c=41af41>+11% Corvette weapon accuracy</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nFire Control Tower</c>
16118	1/3 Frigate Accuracy
16119	<b>Effect</b>\n<c=41af41>+10% Frigate weapon accuracy</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nFire Control Tower</c>
16120	1/3 Platform Accuracy
16121	<b>Effect</b>\n<c=41af41>+10% Platform weapon accuracy</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nResearch Division\nFire Control Tower</c>
16122	1/3 Capital Accuracy
16123	<b>Effect</b>\n<c=41af41>+10% Capital weapon accuracy</c>\n<c=9d9ddf>Cost: 1100 RUs\nTime: 110 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nResearch Division\nFire Control Tower</c>
16124	Weapon Accuracy: Level 2
16125	2/3 Fighter Accuracy
16126	<b>Effect</b>\n<c=41af41>+11% Fighter weapon accuracy</c>\n<c=9d9ddf>Cost: 1400 RUs\nTime: 105 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division\nFire Control Tower</c>
16127	2/3 Corvette Accuracy
16128	<b>Effect</b>\n<c=41af41>+11% Corvette weapon accuracy</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nScience Division\nFire Control Tower</c>
16129	2/3 Frigate Accuracy
16130	<b>Effect</b>\n<c=41af41>+10% Frigate weapon accuracy</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 135 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nFire Control Tower</c>
16131	2/3 Platform Accuracy
16132	<b>Effect</b>\n<c=41af41>+10% Platform weapon accuracy</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 135 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division\nFire Control Tower</c>
16133	2/3 Capital Accuracy
16134	<b>Effect</b>\n<c=41af41>+10% Capital weapon accuracy</c>\n<c=9d9ddf>Cost: 2200 RUs\nTime: 165 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nFire Control Tower</c>
16135	Weapon Accuracy: Level 3
16136	3/3 Fighter Accuracy
16137	<b>Effect</b>\n<c=41af41>+11% Fighter weapon accuracy</c>\n<c=9d9ddf>Cost: 2800 RUs\nTime: 140 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nEngineering Division\nFire Control Tower</c>
16138	3/3 Corvette Accuracy
16139	<b>Effect</b>\n<c=41af41>+11% Corvette weapon accuracy</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nFire Control Tower</c>
16140	3/3 Frigate Accuracy
16141	<b>Effect</b>\n<c=41af41>+10% Frigate weapon accuracy</c>\n<c=9d9ddf>Cost: 3600 RUs\nTime: 180 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nEngineering Division\nFire Control Tower</c>
16142	3/3 Platform Accuracy
16143	<b>Effect</b>\n<c=41af41>+10% Platform weapon accuracy</c>\n<c=9d9ddf>Cost: 3600 RUs\nTime: 180 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nEngineering Division\nFire Control Tower</c>
16144	3/3 Capital Accuracy
16145	<b>Effect</b>\n<c=41af41>+10% Capital weapon accuracy</c>\n<c=9d9ddf>Cost: 4400 RUs\nTime: 220 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nEngineering Division\nFire Control Tower</c>
16146	Weapon Damage: Level 1
16147	1/3 Fighter Damage
16148	<b>Effect</b>\n<c=41af41>+25% Fighter weapon damage</c>\n<c=9d9ddf>Cost: 800 RUs\nTime: 80 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nFire Control Tower</c>
16149	1/3 Corvette Damage
16150	<b>Effect</b>\n<c=41af41>+25% Corvette weapon damage</c>\n<c=9d9ddf>Cost: 900 RUs\nTime: 90 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nFire Control Tower</c>
16151	1/3 Frigate Damage
16152	<b>Effect</b>\n<c=41af41>+22% Frigate weapon damage</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 100 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nFire Control Tower</c>
16153	1/3 Platform Damage
16154	<b>Effect</b>\n<c=41af41>+20% Platform weapon damage</c>\n<c=9d9ddf>Cost: 1000 RUs\nTime: 100 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nResearch Division\nFire Control Tower</c>
16155	Weapon Damage: Level 2
16156	2/3 Fighter Damage
16157	<b>Effect</b>\n<c=41af41>+25% Fighter weapon damage</c>\n<c=9d9ddf>Cost: 1600 RUs\nTime: 120 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nScience Division\nFire Control Tower</c>
16158	2/3 Corvette Damage
16159	<b>Effect</b>\n<c=41af41>+25% Corvette weapon damage</c>\n<c=9d9ddf>Cost: 1800 RUs\nTime: 135 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nScience Division\nFire Control Tower</c>
16160	2/3 Frigate Damage
16161	<b>Effect</b>\n<c=41af41>+22% Frigate weapon damage</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 150 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nFire Control Tower</c>
16162	2/3 Platform Damage
16163	<b>Effect</b>\n<c=41af41>+20% Platform weapon damage</c>\n<c=9d9ddf>Cost: 2000 RUs\nTime: 150 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division\nFire Control Tower</c>
16164	Weapon Damage: Level 3
16165	3/3 Fighter Damage
16166	<b>Effect</b>\n<c=41af41>+25% Fighter weapon damage</c>\n<c=9d9ddf>Cost: 3200 RUs\nTime: 160 s</c>\n<b>Requires:</b>\n<c=e7bd59>Fighter Facility\nEngineering Division\nFire Control Tower</c>
16167	3/3 Corvette Damage
16168	<b>Effect</b>\n<c=41af41>+25% Corvette weapon damage</c>\n<c=9d9ddf>Cost: 3600 RUs\nTime: 180 s</c>\n<b>Requires:</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nFire Control Tower</c>
16169	3/3 Frigate Damage
16170	<b>Effect</b>\n<c=41af41>+22% Frigate weapon damage</c>\n<c=9d9ddf>Cost: 4000 RUs\nTime: 200 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nEngineering Division\nFire Control Tower</c>
16171	3/3 Platform Damage
16172	<b>Effect</b>\n<c=41af41>+20% Platform weapon damage</c>\n<c=9d9ddf>Cost: 4000 RUs\nTime: 200 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nEngineering Division\nFire Control Tower</c>
16173	Auto-Repair: Level 1
16174	1/3 Frigate Repair
16175	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 1100 RUs\nTime: 110 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nRepair System</c>
16176	1/3 Platform Repair
16177	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 1100 RUs\nTime: 110 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division\nRepair System</c>
16178	1/3 Capital Repair
16179	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 1300 RUs\nTime: 130 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nRepair System</c>
16180	Auto-Repair: Level 2
16181	2/3 Frigate Repair
16182	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 2200 RUs\nTime: 165 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nScience Division\nRepair System</c>
16183	2/3 Platform Repair
16184	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 2200 RUs\nTime: 165 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nScience Division\nRepair System</c>
16185	2/3 Capital Repair
16186	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 2600 RUs\nTime: 195 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nScience Division\nRepair System</c>
16187	Auto-Repair: Level 3
16188	3/3 Frigate Repair
16189	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 4400 RUs\nTime: 220 s</c>\n<b>Requires:</b>\n<c=e7bd59>Frigate Facility\nEngineering Division\nRepair System</c>
16190	3/3 Platform Repair
16191	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 4400 RUs\nTime: 220 s</c>\n<b>Requires:</b>\n<c=e7bd59>Platform Control Module\nEngineering Division\nRepair System</c>
16192	3/3 Capital Repair
16193	<b>Effect</b>\n<c=41af41>+100% health recharge rate</c>\n<c=9d9ddf>Cost: 5200 RUs\nTime: 260 s</c>\n<b>Requires:</b>\n<c=e7bd59>Capital Facility\nEngineering Division\nRepair System</c>
16194	Capture Speed: Level 1
