filerange    10000 10711
rangestart    10000 10711
//	--LOCALE TABLE GENERATED BY TempCombiner.py--
//	--         SHIPS          --
/////    /===================================\
/////   /=====================================\
/////	|              HIIGARAN               |
/////	\=====================================/
/////	 \===================================/
/////	/==========================\
/////	|         UTILITY          |
/////	\==========================/
10000	<c=ff0000>Launch Evacuation Pod</c>
10025	<b>Armament</b>\n<c=ff1919>Ultralite Kinetic Driver</c>\n<b>Upgrades</b>\n<c=ff7d55>ElectroMagnetic Pulse Emitter</c>\n\n<b>Feature Upgrade</b>\n<c=fff555>Sensor Ping</c>\n\n<c=9d9ddf>Cost: 350 RUs\nBuild Time: 20 s\nMaintenance: 5 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>3 crew members</c>\n\n<b>Description:</b> Basic Reconnaissance Fighter Squadron
10026	Interceptor (x5)
10027	<b>Armament</b>\n<c=ff1919>Kinetic Driver</c>\n\n<c=9d9ddf>Cost: 400 RUs\nBuild Time: 30 s\nMaintenance: 7 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\n5 crew members</c>\n\n<b>Description:</b> Basic Anti-Fighter/Corvette Fighter Squadron
10028	Interceptor (x7)
10029	<b>Armament</b>\n<c=ff1919>Kinetic Driver</c>\n\n<c=9d9ddf>Cost: 560 RUs\nBuild Time: 30 s\nMaintenance: 7 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nFighter Squad Size+\n7 crew members</c>\n\n<b>Description:</b> Basic Anti-Fighter/Corvette Fighter Squadron (expanded)
10030	Bomber (x5)
10031	<b>Armament</b>\n<c=ff1919>2 Anti-Capital Ship Plasma Bomb Launchers</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-SubSystem Plasma Bomb Launchers</c>\n\n<c=9d9ddf>Cost: 550 RUs\nBuild Time: 40 s\nMaintenance: 8 RUs/year</c>\nStrong vs: Frigates, Capital Ships, Subsystems \n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\n5 crew members</c>\n\n<b>Description:</b> Basic Anti-Frigate/Capital Ship Fighter Squadron
10032	Bomber (x7)
10033	<b>Armament</b>\n<c=ff1919>2 Anti-Capital Ship Plasma Bomb Launchers</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-SubSystem Plasma Bomb Launchers</c>\n\n<c=9d9ddf>Cost: 770 RUs\nBuild Time: 40 s\nMaintenance: 8 RUs/year</c>\nStrong vs: Frigates, Capital Ships, Subsystems \n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nFighter Squad Size+\n7 crew members</c>\n\n<b>Description:</b> Basic Anti-Frigate/Capital Ship Fighter Squadron (expanded)
10034	Spy (x3)
10035	<b>Armament</b>\n<c=ff1919>Light Kinetic Driver</c>\n<b>Upgrades</b>\n<c=ff7d55>Electro Magnetic Pulse Emitter</c>\n\n<b>Features</b>\n<c=ffbb19>Integrated Cloaking System</c>\n<b>Upgrade</b>\n<c=fff555>Sensor Ping</c>\n\n<c=9d9ddf>Cost: 600 RUs\nBuild Time: 50 s\nMaintenance: 7 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Cloak Generator (on board)\n3 crew members</c>\n\n<b>Description:</b> Advanced Reconnaissance Fighter Squadron; can cloak for a limited time to avoid detection by enemy
10036	X-Bomber (x5)
10037	<b>Armament</b>\n<c=ff1919>Anti-Subsystem Disruptor Launcher</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Frigate/Capital Ship Callistoes</c>\n\n<c=9d9ddf>Cost: 600 RUs\nBuild Time: 40 s\nMaintenance: 7 RUs/year</c>\nStrong vs: SubSystems\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Station\nX-Bomber Technology\n5 crew members</c>\n\n<b>Description:</b> Anti-Subsystem Fighter Squadron
10038	X-Bomber (x7)
10039	<b>Armament</b>\n<c=ff1919>Anti-Subsystem Disruptor Launcher</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Frigate/Capital Ship Callistoes</c>\n\n<c=9d9ddf>Cost: 750 RUs\nBuild Time: 40 s\nMaintenance: 7 RUs/year</c>\nStrong vs: Subsystems\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Station\nX-Bomber Technology\nFighter Squad Size+\n7 crew members</c>\n\n<b>Description:</b> Anti-Subsystem Fighter Squadron (expanded)
10040	Intruder (x5)
10041	<b>Armament</b>\n<c=ff1919>Light Pulsar Ion Array</c>\n\n<c=9d9ddf>Cost: 700 RUs\nBuild Time: 55 s\nMaintenance: 8 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nIntruder Technology\n5 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette Fighter Squadron
10042	Intruder (x7)
10043	<b>Armament</b>\n<c=ff1919>Light Pulsar Ion Array</c>\n\n<c=9d9ddf>Cost: 980 RUs\nBuild Time: 55 s\nMaintenance: 8 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nIntruder Technology\nFighter Squad Size+\n7 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette Fighter Squadron (expanded)
10044	Shiry (x5)
10045	<b>Armament</b>\n<c=ff1919>2 Kinetic Drivers</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Frigate/Capital Ship Callistoes</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 70 s\nMaintenance: 9 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates \n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nScience Division\nShiry Technology\n5 crew members</c>\n\n<b>Description:</b> Heavy Anti-Fighter/Corvette Fighter Squadron
10046	Shiry (x7)
10047	<b>Armament</b>\n<c=ff1919>Light Pulsar Ion Array</c>\n\n<c=9d9ddf>Cost: 980 RUs\nBuild Time: 55 s\nMaintenance: 8 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nResearch Division\nIntruder Technology\nFighter Squad Size+\n7 crew members</c>\n\n<b>Description:</b> Heavy Anti-Fighter/Corvette Fighter Squadron (expanded)
10048	Assault Bomber (x5)
10049	<b>Armament</b>\n<c=ff1919>4 Anti-Capital Ship Plasma Bomb Launchers\n2 Anti-Subsystem Plasma Bomb Launchers</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 80 s\nMaintenance: 10 RUs/year</c>\nStrong vs: Frigates, Capital Ships, Subsystems\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nScience Division\nHeavy Bomber Technology\n5 crew members</c>\n\n<b>Description:</b> Heavy Anti-Capital Ship Fighter Squadron
10050	Assault Bomber (x7)
10051	<b>Armament</b>\n<c=ff1919>4 Anti-Capital Ship Plasma Bomb Launchers\n2 Anti-SubSystem Plasma Bomb Launchers</c>\n\n<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 80 s\nMaintenance: 10 RUs/year</c>\nStrong vs: Frigates, Capital Ships, Subsystems\n\n<b>Prerequisite</b>\n<c=e7bd59>Fighter Facility\nScience Division\nHeavy Bomber Technology\nFighter Squad Size+\n7 crew members</c>\n\n<b>Description:</b> Heavy Anti-Capital Ship Fighter Squadron (expanded)
/////	/==========================\
/////	|         CORVETTES        |
/////	\==========================/
10052	Gunship Corvette (x3)
10053	<b>Armament</b>\n<c=ff1919>2 Kinetic Turrets</c>\n\n<c=9d9ddf>Cost: 600 RUs\nBuild Time: 45 s\nMaintenance: 11 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\n6 crew members</c>\n\n<b>Description:</b> Basic Anti-Fighter/Corvette Squadron
10054	Gunship Corvette (x5)
10055	<b>Armament</b>\n<c=ff1919>2 Kinetic Turrets</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 45 s\nMaintenance: 11 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nCorvette Squad Size+\n10 crew members</c>\n\n<b>Description:</b> Basic Anti-Fighter/Corvette Squadron (expanded)
10056	Pulsar Gunship (x3)
10057	<b>Armament</b>\n<c=ff1919>Pulsar Ion Turret</c>\n\n<c=9d9ddf>Cost: 700 RUs\nBuild Time: 55 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Station\nPulsar Chassis Technology\n6 crew members</c>\n\n<b>Description:</b> Anti-Corvette/Frigate Squadron
10058	Pulsar Gunship (x5)
10059	<b>Armament</b>\n<c=ff1919>Pulsar Ion Turret</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 55 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nPulsar Chassis Technology\nCorvette Squad Size+\n10 crew members</c>\n\n<b>Description:</b> Anti-Corvette/Frigate Squadron (expanded)
10060	Plasma Gunship (x3)
10061	<b>Armament</b>\n<c=ff1919>2 Plasma Bomb Launchers\nHigh-Speed Torpedo Turret</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 65 s\nMaintenance: 13 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nPlasma Chassis Technology\n6 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Squadron
10062	Plasma Gunship (x5)
10063	<b>Armament</b>\n<c=ff1919>2 Plasma Bomb Launchers\nHigh-Speed Torpedo Turret</c>\n\n<c=9d9ddf>Cost: 1300 RUs\nBuild Time: 65 s\nMaintenance: 13 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nResearch Division\nPlasma Chassis Technology\nCorvette Squad Size+\n10 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Squadron (expanded)
10064	Minelayer Corvette
10065	<b>Armament</b>\n<c=ff1919>Kinetic Turret\nAnti-Frigate/Capital Ship Mine Deploying System\nMine Sweeper System</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 60 s\nMaintenance: 6 RUs/year</c>\nStrong vs: Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nScience Division\nMinelayer Chassis Technology\n3 crew members</c>\n\n<b>Description:</b> Anti-Capital Ship Support Corvette; can deploy proximity mines as a static combat system. It can also eliminate hostile minefields. Minelaying systems must be manually activated (default N)
10066	Minegun (x3)
10067	<b>Armament</b>\n<c=ff1919>4 Kinetic Turrets\nMine Sweeper Turret</c>\n<b>Upgrades</b>\n<c=ff7d55>Anti-Fighter/Corvette Frag Mine System</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 65 s\nMaintenance: 16 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nScience Division\nMinegun Chassis Technology\n9 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette Squadron
10069	Minegun (x5)
10070	<b>Armament</b>\n<c=ff1919>4 Kinetic Turrets\nMine Sweeper Turret</c>\n<b>Upgrades</b>\n<c=ff7d55>Anti-Fighter/Corvette Flak Mine System</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 65 s\nMaintenance: 16 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nScience Division\nMinegun Chassis Technology\nCorvette Squad Size+\n15 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette Squadron (expanded)
10071	Pulsar Mechgun (x3)
10072	<b>Armament</b>\n<c=ff1919>4 Kinetic Turrets\n2 Heavy Pulsar Ion Turrets</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 75 s\nMaintenance: 18 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nPulsar Mechgun Chassis Technology\n9 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette/Frigate Squadron
10073	Pulsar Mechgun (x5)
10074	<b>Armament</b>\n<c=ff1919>4 Kinetic Turrets\n2 Heavy Pulsar Ion Turrets</c>\n\n<c=9d9ddf>Cost: 1700 RUs\nBuild Time: 75 s\nMaintenance: 18 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nPulsar Mechgun Chassis Technology\nCorvette Squad Size+\n15 crew members</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette/Frigate Squadron (expanded)
10075	Ion Mechgun (x3)
10076	<b>Armament</b>\n<c=ff1919>4 Kinetic Turrets\n2 Ion Cannon Turrets</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 80 s\nMaintenance: 18 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nIon Mechgun Chassis Technology\n9 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Corvette Squadron
10077	Ion Mechgun (x5)
10078	<b>Armament</b>\n<c=ff1919>4 Kinetic Turrets\n2 Ion Cannon Turrets</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 80 s\nMaintenance: 18 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Corvette Facility\nEngineering Division\nIon Mechgun Chassis Technology\nCorvette Squad Size+\n15 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Corvette Squadron (expanded)
/////	/==========================\
/////	|         FRIGATES         |
/////	\==========================/
10079	Flak Frigate
10080	<b>Armament</b>\n<c=ff1919>2 Flak Turrets</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 50 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\n6 crew members</c>\n\n<b>Description:</b> Anti-Fighter Frigate
10081	Torpedo Frigate
10082	<b>Armament</b>\n<c=ff1919>2 Cluster Torpedo Launchers</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Capital Ship Torpedo Launchers\nAnti-Capital Ships Callistoes</c>\n\n<c=9d9ddf>Cost: 850 RUs\nBuild Time: 55 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Corvettes, Frigates \n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nResearch Division\nTorpedo Frigate Chassis Technology\n6 crew members</c>\n\n<b>Description:</b> Anti-Corvette Frigate
10083	Sniper Frigate
10084	<b>Armament</b>\n<c=ff1919>Long Range Pulsar Turret</c>\n<b>Upgrades</b>\n<c=ff7d55>2 Anti-Capital Ship Cruise Torpedoes</c>\n\n<c=9d9ddf>Cost: 950 RUs\nBuild Time: 60 s\nMaintenance: 14 RUs/year</c>\nStrong vs: Frigates, Capital Ships \n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nScience Division\nSniper Chassis Technology\n7 crew members</c>\n\n<b>Description:</b> Long-Range Anti-Frigate; the Sniper Frigate's long range makes it ideal for anti-platform operations and softening up enemy frigates formations
10085	Marine Frigate
10086	<b>Armament</b>\n<c=ff1919>Kinetic Turret</c>\n\n<c=9d9ddf>Cost: 750 RUs\nBuild Time: 50 s\nMaintenance: 16 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nScience Division\nMarine Frigate Chassis Technology\n7 crew members</c>\n\n<b>Description:</b> Utility Frigate; capable of boarding and capturing a variety of enemy vessels, as well as Mining Bases, Debris Hulks and Megaliths
10087	Defense Shield Frigate
10088	<b>Armament</b>\n<c=ff1919>Kinetic Turret</c>\n\n<b>Features</b>\n<c=ffbb19>Defense Shield</c>\n<b>Upgrade</b>\n<c=fff555>Anti-Radiation Shield</c>\n\n<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 70 s\nMaintenance: 18 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nScience Division\nDefense Field Chassis Technology\n7 crew members</c>\n\n<b>Description:</b> Defensive Utility Frigate; can protect nearby ships from most enemy weapons fire; and with the proper upgrades, from nebulae and ionized dust clouds. Shield activation requires a minimum capacitor level and authorization from Command (default: T)
10089	Ion Cannon Frigate
10090	<b>Armament</b>\n<c=ff1919>Ion Cannon Array</c>\n\n<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 65 s\nMaintenance: 20 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nScience Division\nIon Frigate Chassis Technology\n8 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Frigate
10091	Tulwar Frigate
10092	<b>Armament</b>\n<c=ff1919>3 Plasma Bomb Launchers\n4 Pulsar Turrets</c>\n<b>Upgrades</b>\n<c=ff7d55>2 EMP Emitter Turrets</c>\n\n<b>Features</b>\n<c=ffbb19>Integrated Ablative Shield Generator</c>\n\n<c=9d9ddf>Cost: 1100 RUs\nBuild Time: 70 s\nMaintenance: 24 RUs/year</c>\nStrong vs: Corvettes, Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Frigate Facility\nEngineering Division\nTulwar Frigate Chassis Technology\n9 crew members</c>\n\n<b>Description:</b> Advanced Anti-Corvette/Frigate/Capital Ship Frigate
/////	/==========================\
/////	|         PLATFORMS        |
/////	\==========================/
10093	Gun Platform
10094	<b>Armament</b>\n<c=ff1919>2 Long Range Kinetic Turrets</c>\n\n<c=9d9ddf>Cost: 600 RUs\nBuild Time: 50 s\nMaintenance: 2 RUs/year</c>\nStrong vs: Fighters, Corvettes\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\n1 crew member</c>\n\n<b>Description:</b> Basic Anti-Fighter/Corvette Platform
10095	Pulsar Platform
10096	<b>Armament</b>\n<c=ff1919>2 Long Range Pulsar Turrets</c>\n\n<c=9d9ddf>Cost: 700 RUs\nBuild Time: 55 s\nMaintenance: 4 RUs/year</c>\nStrong vs: Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nResearch Division\nPulsar Platform Technology\n2 crew members</c>\n\n<b>Description:</b> Anti-Corvette/Frigate Weapons Platform
10097	Ion Cannon Platform
10098	<b>Armament</b>\n<c=ff1919>2 Long Range Ion Beam Turret</c>\n\n<c=9d9ddf>Cost: 900 RUs\nBuild Time: 65 s\nMaintenance: 6 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nScience Division\nIon Platform Technology\n3 crew members</c>\n\n<b>Description:</b> Anti-Frigate/Capital Ship Weapons Platform
10099	Torpedo Platform
10100	<b>Armament</b>\n<c=ff1919>Long Range Torpedo Turret\nMine Launcher</c>\n\n<c=9d9ddf>Cost: 1100 RUs\nBuild Time: 75 s\nMaintenance: 8 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nScience Division\nTorpedo Platform Technology\n4 crew members</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Weapons Platform
10101	Fast-Tracking Platform
10102	<b>Armament</b>\n<c=ff1919>3 Anti-Missile Fast-Tracking Turrets\nMine Layer Turret</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 85 s\nMaintenance: 10 RUs/year</c>\nStrong vs: Torpedo, Bomb, Mine\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nScience Division\nFast-Tracking Weapons Technology\n5 crew members</c>\n\n<b>Description:</b> Anti-Ordinance Weapons Platform; fires at any incoming missiles/torpedoes/bombs/mines and can deploy heavy mine fields
10103	Defense Shield Platform
10104	<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 85 s\nMaintenance: 10 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nScience Division\nDefense Shield Technology\n5 crew members</c>\n\n<b>Description:</b> Defensive Utility Platform; can protect nearby ships against most enemy ordinance, must be activated (default T)
10105	Sentinel Alpha
10106	<b>Armament</b>\n<c=ff1919>2 Fast Plasma Cannon Turrets\n2 Hex Heavy Kinetic Cannon Turrets</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 150 s\nMaintenance: 20 RUs/year</c>\nStrong vs: Fighters, Corvettes, Frigates\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nEngineering Division\nSentinel Platforms Technology\n10 crew members\n1 officer</c>\n\n<b>Description:</b> Advanced Anti-Corvette/Frigate Weapons Platform; requires a lot of energy to fire
10107	Sentinel Beta
10108	<b>Armament</b>\n<c=ff1919>2 Heavy Ion Cannon Turrets\nRipwave Bomb Launcher Turret\nHex Torpedo Launcher Turret</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 150 s\nMaintenance: 20 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nEngineering Division\nSentinel Platforms Technology\n10 crew members\n1 officer</c>\n\n<b>Description:</b> Advanced Anti-Frigate/Capital Ship Weapons Platform; requires a lot of energy to fire
10109	Sentinel Gamma
10110	<b>Features</b>\n<c=ffbb19>4 Special slots\nCan Build: Subsystems (Weapons)</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 150 s\nMaintenance: 20 RUs/year</c>\nStrong vs: varies\n\n<b>Prerequisite</b>\n<c=e7bd59>Platform Control Module\nEngineering Division\nSentinel Platforms Technology\n10 crew members\n1 officer</c>\n\n<b>Description:</b> Fully Customizable Advanced Weapons Platform; can build various advanced weapon systems using limited onboard assembler array, including advanced long range weaponry (weapons consume large quantities of energy)
10111	Heavy Cannon Turret
10112	<b>Armament</b>\n<c=ff1919>4 Long Range Kinetic Turrets</c>\n\n<c=9d9ddf>Cost: 1300 RUs\nBuild Time: 75 s\nMaintenance: 12 RUs/year</c>\nStrong vs: Frigates, Capital Ships\n\n<b>Description:</b> Automated Anti-Frigate/Capital Ship Long-Range Weapon Turret; useful to defend RU operation area (9 units max), engines can only be activated once
