filerange	10831 11452
10858	<b>Type:</b> Order (Instant)\n\n<b>Description:</b> Launch Mothership and support stations (Research/Crew/Power/Weapon) from Gujking Shipyard, ending the Gujking formation
10859	Rearm
10860	<b>Type:</b> Order (Instant)\n\n<b>Description:</b> Orders all constructed weapon systems to self-destruct, allowing ship to build new weapon systems
10861	Fighter Facility
10862	<c=9d9ddf>Cost: 500 RUs\nBuild Time: 45 s\nMaintenance: 10 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Interceptor, Bomber</c>\n<c=149ca4>Research: Fighter</c>\n\n<b>Description:</b> Enables production of fighter-class craft on this ship
10863	Corvette Facility
10864	<c=9d9ddf>Cost: 1000 RUs\nBuild Time: 65 s\nMaintenance: 20 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Gunship Corvette</c>\n<c=149ca4>Research: Corvette</c>\n\n<b>Description:</b> Enables production of corvette-class vessels on this ship
10865	Frigate Facility
10866	<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 70 s\nMaintenance: 40 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Flak Frigate</c>\n<c=149ca4>Research: Frigate</c>\n\n<b>Description:</b> Enables production of frigate-class vessels on this ship
10867	Capital Ship Facility
10868	<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 150 s\nMaintenance: 90 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Carrier, Support Stations (Research/Crew/Power/Weapon), Destroyers, Cruisers</c>\n<c=149ca4>Research: Capital Ship</c>\n\n<b>Description:</b> Enables production of capital-class vessels on this ship
10869	Super-Capital Ship Facility
10870	<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 150 s\nMaintenance: 90 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Carrier, Support Stations (Research/Crew/Power/Weapon)</c>\n<c=149ca4>Research: Capital Ship</c>\n\n<b>Description:</b> Enables production of capital & super-capital class vessels on this ship
10871	Research Division
10872	<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 100 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Defense Control Tower, Fire Control Tower, Hyperspace Module</c>\n<c=149ca4>Research: 1st Tier Topics and Upgrades</c>\n\n<b>Description:</b> Unlocks first tier of research topics for ships, abilities and upgrades
10873	Science Division
10874	<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 200 s\nMaintenance: 100 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Repair System, Manufacturing Controller, Gravity Well Generator, Anti-Radiation Field, Ablative Defense Shield (Mothership, Power Station)</c>\n<c=149ca4>Research: 2nd Tier Topics and Upgrades</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division\n125 Research Score</c>\n\n<b>Description:</b> Unlocks second tier of research topics for ships, abilities and upgrades
10875	Engineering Division
10876	<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 400 s\nMaintenance: 150 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: 3rd Tier Topics and Upgrades</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division\n450 Research Score</c>\n\n<b>Description:</b> Enables the third level of Research; unlocks final level of technologies, abilities and ships
10877	Overload Power Up
10878	<b>Type:</b> Power Up (takes 1 special slot)\nPower Up: 200% more Energy\nDuration: 60 s\n\n<c=9d9ddf>Cost: 5000 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>5000 RUs (Stored)</c>\n\n<b>Description:</b> Power Up; improves energy operations of the Power Station for short time (60 s) at the cost of the station's health
10879	<c=FF8000>Resource Power Up</c>
10880	<b>Type:</b> Power Up (takes 1 special slot)\nPower Up: 500%\nDuration: 60 s\nRadius: 14000 m\n\n<c=9d9ddf>Cost: 3000 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>3000 RUs (Stored)\n100 Energy (Stored)</c>\n\n<b>Description:</b> Power Up; improves RUs operations of your fleet for short time (60 s) within a limited radius around the Research Station (14000 m)
10881	<c=00FF00>Speed Power Up</c>
10882	<b>Type:</b> Power Up (takes 1 special slot)\nPower Up: 50%\nDuration: 60 s\nRadius: 14000 m\n\n<c=9d9ddf>Cost: 3500 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>3500 RUs (Stored)\n200 Energy (Stored)</c>\n\n<b>Description:</b> Power Up; improves speed and acceleration of your fleet for short time (60 s) within a limited radius around the Research Station (14000 m)
10883	<c=0080FF>Defense Power Up</c>
10884	<b>Type:</b> Power Up (takes 1 special slot)\nPower Up: 100%\nDuration: 60 s\nRadius: 14000 m\n\n<c=9d9ddf>Cost: 4000 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>4000 RUs (Stored)\n300 Energy (Stored)</c>\n\n<b>Description:</b> Power Up; improves defense systems of your fleet for short time (60 s) within a limited radius around the Research Station (14000 m)
10885	<c=BF0000>Offense Power Up</c>
10886	<b>Type:</b> Power Up (takes 1 special slot)\nPower Up: 75%\nDuration: 60 s\nRadius: 14000 m\n\n<c=9d9ddf>Cost: 4000 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>4000 RUs (Stored)\n300 Energy (Stored)</c>\n\n<b>Description:</b> Power Up; improves attack systems of your fleet for short time (60 s) within a limited radius around the Research Station (14000 m)
10887	Manufacturing Power Up
10888	<b>Type:</b> Power Up (takes 1 special slot)\nPower Up: 350%\nDuration: 60 s\nRadius: 14000 m\n\n<c=9d9ddf>Cost: 4500 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>4500 RUs (Stored)\n400 Energy (Stored)</c>\n\n<b>Description:</b> Power Up; improves build speed of your fleet for short time (60 s) within a limited radius around the Research Station (14000 m)
10889	<c=008000>Repair Power Up</c>
10890	<b>Type:</b> Power Up (takes 1 special slot)\nPower Up: 1100%\nDuration: 60 s\nRadius: 14000 m\n\n<c=9d9ddf>Cost: 4500 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>4500 RUs (Stored)\n400 Energy (Stored)</c>\n\n<b>Description:</b> Power Up; improves auto repair rate and docking operations of your fleet for short time (60 s) within a limited radius around the Research Station (14000 m)
10891	<c=0000FF>Sensor Improver</c>
10892	<b>Type:</b> Sensor (takes 1 special slot)\nPower: 50%\nDuration: 90 s\n\n<c=9d9ddf>Cost: 2000 RUs</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>2000 RUs (Stored)\n100 Energy (Stored)</c>\n\n<b>Description:</b> Improves Chimera's Sensors power for short time (120 s)
10893	Crew Barrack
10894	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 100 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Lieutenant Rank (30 Honor points)</c>\n\n<b>Description:</b> Crew Barrack; increases maximum number of recruitable personnel
10895	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 150 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Commander Rank (80 Honor points)</c>\n\n<b>Description:</b> Crew Barrack; increases maximum number of recruitable personnel
10896	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 200 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Captain Rank (150 Honor points)</c>\n\n<b>Description:</b> Crew Barrack; increases maximum number of recruitable personnel
10897	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 250 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Commodore Rank (240 Honor points)</c>\n\n<b>Description:</b> Crew Barrack; increases maximum number of recruitable personnel
10898	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 300 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Admiral Rank (350 Honor points)</c>\n\n<b>Description:</b> Crew Barrack; increases maximum number of recruitable personnel
10899	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 300 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Fleet Admiral Rank (480 Honor points)</c>\n\n<b>Description:</b> Crew Barrack; increases maximum number of recruitable personnel
10900	Officer Barrack
10901	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 300 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Commander Rank (80 Honor points)</c>\n\n<b>Description:</b> Officer Barrack; increases maximum number of recruitable officers
10902	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 5000 RUs\nBuild Time: 250 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Captain Rank (150 Honor points)</c>\n\n<b>Description:</b> Officer Barrack; increases maximum number of recruitable officers
10903	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 6000 RUs\nBuild Time: 300 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Commodore Rank (240 Honor points)</c>\n\n<b>Description:</b> Officer Barrack; increases maximum number of recruitable officers
10904	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 350 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Admiral Rank (350 Honor points)</c>\n\n<b>Description:</b> Officer Barrack; increases maximum number of recruitable officers
10905	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 8000 RUs\nBuild Time: 400 s\nMaintenance: 75 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Fleet Admiral Rank (480 Honor points)</c>\n\n<b>Description:</b> Officer Barrack; increases maximum number of recruitable officers
10906	Ensign
10907	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 1000 RUs</c>\n\n<b>Description:</b> Attain Military Rank of Ensign. At this lowest command rank you may manage a small fleet of and earn a basic annual  income of RUs (if enabled for the match)
10908	Lieutenant
10909	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 2000 RUs</c>\n\n<b>Unlocks</b>\n<c=f0d100>Build: Carrier, Battle Carrier, Crew Barrack</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>30 Honor points\nEnsign Rank\n2000 RUs (Stored)</c>\n\n<b>Description:</b> Attain Military Rank of Lieutenant. At this command rank you can build crew barracks and increase the maximum personnel capacity of your fleet. You unlock new ships and technologies and earn a greater annual income
10910	Commander
10911	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 4000 RUs</c>\n\n<b>Unlocks</b>\n<c=f0d100>Build: Shipyard, Gujking Shipyard, Crew Barrack, Officer Barrack</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>80 Honor points\nLieutenant Rank (30 Honor points)\n4000 RUs (Stored)</c>\n\n<b>Description:</b> Attain Military Rank of Commander. At this command rank you can build extra crew barracks, start to build officer barracks and increase the maximum personnel capacity of your fleet. You unlock new ships and technologies and earn a greater annual income
10912	Captain
10913	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 6000 RUs</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Weapon Station, Crew Barrack, Officer Barrack</c>\n<c=149ca4>Research: Battlecruiser Chassis</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>150 Honor points\nCommander Rank (80 Honor points)\n6000 RUs (Stored)</c>\n\n<b>Description:</b> Attain Military Rank of Captain. At this command rank you can build extra crew and officer barracks and increase the maximum personnel capacity of your fleet. You unlock new ships and technologies and earn a greater annual income
10914	Commodore
10915	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 8000 RUs</c>\n\n<b>Unlocks</b>\n<c=f0d100>Build: Crew Barrack, Officer Barrack</c>\n<c=149ca4>Research: Vortex Chassis, Battleship Chassis, Battle Ark Ripwave Bomb Upgrade</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>240 Honor points\nCaptain Rank (150 Honor points)\n8000 RUs (Stored)</c>\n\n<b>Description:</b> Attain Military Rank of Commodore. At this command rank you can build extra crew and officer barracks and increase the maximum personnel capacity of your fleet. You unlock new ships and technologies and earn a greater annual income
10916	Admiral
10917	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 10000 RUs</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Crew Barrack, Officer Barrack</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>350 Honor points\nCommodore Rank (240 Honor points)\n10000 RUs (Stored)</c>\n\n<b>Description:</b> Attain Military Rank of Admiral. At this command rank you can build extra crew and officer barracks and increase the maximum personnel capacity of your fleet. You unlock new ships and technologies and earn a greater annual income
10918	Fleet Admiral
10919	<b>Description</b> Attain Military Rank of Fleet Admiral, the highest rank of your military career. At this command rank you can build extra crew and officer barracks and increase the maximum personnel capacity of your fleet. You unlock new ships and technologies and earn a greater annual income\n\n<b>Type:</b> Special (takes 1 special slot)\n\n<c=9d9ddf>Cost: 12000 RUs</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Crew Barrack, Officer Barrack</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>480 Honor points\nAdmiral Rank (350 Honor points)\n12000 RUs (Stored)</c>
10920	Civilian Habitat
10921	Uses 1 Special slot\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 200 s</c>\n\n<b>Description:</b> Civilian Habitat; support an additional 2000 civilians
10922	Mothership Battle Asset
10923	<b>Armament</b>\n<c=ff1919>4 Hex Anti-Frigate Heavy Kinetic Cannon Turrets\n4 Anti-Frigate/Capital Ships Ion Turrets\nLong-Range Anti-Capital Ship Ripwave Bomb Launcher</c>\n\n<b>Effects</b>\n<c=b26dff>Mothership only\n+20% Speed\n+15% Drive\n+20% Health\n+10% Weapon Damage\n+10% Weapon Aim</c>\n+45% Build Speed\n+50% Auto-Repair\n+50% Repair Dock rate</c>\n\n<c=9d9ddf>Cost: 10000 RUs\nBuild Time: 500 s\nMaintenance: 300 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59> Mothership docked to the Gujking Shipyard\nAdmiral Rank (350 Honor points)\nEngineering Division</c>\n\n<b>Description</b> Adds several heavy weapon emplacements and upgrades most systems on the Mothership
10924	Platform Control Module
10925	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 700 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Gun Platform</c>\n<c=149ca4>Research: Platform</c>\n\n<b>Description:</b> Houses standard platform telemetry transmission equipment and control systems, required to build basic weapon platforms
10926	Adv. Platform Control Module
10927	Uses 1 Module slot\n\n<c=9d9ddf>Cost: 700 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Gun Platform</c>\n<c=149ca4>Research: Platform</c>\n\n<b>Description:</b> Houses advanced platform telemetry transmission equipment and control systems, required to build standard and advanced weapon platforms
10928	Harvest Control Module
10929	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Allies within 3000 m radius\n+15% Harvest\n+15% Load Capacity\n+15% Drop Off rate</c>\n\n<c=9d9ddf>Cost: 800 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Collector Upgrades (Harvest, Offload & Storage Upgrades)</c>\n\n<b>Description:</b> Improves harvesting operations within a limited radius around the carrier ship
10930	Drive System
10931	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Allies within 5250 m radius\n+3% Drive\n+10% Speed</c>\n<c=b26dff>Carrier Ship\n+9% Drive\n+30% Speed</c>\n\n<c=9d9ddf>Cost: 1200 RUs\nBuild Time: 50 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Speed (All Classes) & Drive (Capital Ship-class) Upgrades</c>\n\n<b>Description:</b> Provides additional power to the ship's engines and thrusters, improving mobility of carrier ship and friendly units within a limited radius around the carrier ship
10932	Defense Control Tower
10933	Uses 1 Module slot\n\n<b>Effects</b>\n<c=b26dff>Carrier Ship\n+18% Health</c>\n\n<c=9d9ddf>Cost: 1400 RUs\nBuild Time: 70 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Tango Mine</c>\n<c=149ca4>Research: Health upgrades (All Classes)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Improves Damage: control systems and rapid response crews, effectively enhancing the carrier ship's health
10934	Fire Control Tower
10935	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Allies within 4500 m radius\n+15% Weapon Damage\n+15% Weapon Aim</c>\n<c=b26dff>Carrier Ship\n+20% Weapon Damage\n+20% Weapon Aim</c>\n\n<c=9d9ddf>Cost: 1500 RUs\nBuild Time: 75 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Special Weapons</c>\n<c=149ca4>Research: Damage: and Accuracy Upgrades (All Classes), Weapon Upgrades</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Improves targeting systems and improves efficiency of power systems, enhancing weapon accuracy and Damage: of carrier ship (and a lesser bonus to nearby allied ships). Unlocks fire abilities and weapon Damage: upgrades
10936	Hyperspace Module
10937	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Carrier & Alies within 3500 m\nEnables frigates, capital ships and super-capital ships to jump through hyperspace</c>\n\n<c=9d9ddf>Cost: 1600 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Chimera Station, Command Fortress, Shipyard, Gujking Shipyard, Battle Shipyard</c>\n<c=149ca4>Research: Hyperspace Upgrades (Cost, Damage, Time)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Research Division</c>\n\n<b>Description:</b> Hyperspace drives and wake generators, allowing nearby Platforms, Frigates and Capital Ships to hyperspace, unlocks hyperspace upgrades
10938	Manufacturing Controller
10939	Uses 1 Module slot\n\n<b>Effects</b>\n<c=b26dff>Carrier ship\n+40% Manufacturing</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Production Speed Upgrades (Capital Ship)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Contains improved control equipment for the ship's phased dissambler array, improving the ship's production speed
10940	Repair System
10941	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Allies within 6000 m radius\n+400% Auto-Repair rate</c>\n<c=b26dff>Carrier Ship\n+150% Repair Dock rate</c>\n\n<b>Type:</b> Module (takes 1 module slot)\n\n<c=9d9ddf>Cost: 1800 RUs\nBuild Time: 80 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Patcher (Utility)</c>\n<c=149ca4>Research: Auto-Repair Upgrades (Frigates, Platforms, Capital Ships)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Contains telemetry systems for controlling large numbers of automated repair drones, allowing this ship and nearby allied ships to self repair at improved rates; it also allows production of the Patcher-series macrorepair drone
10942	Gravity Well Module
10943	Uses 1 Module slot\n\n<b>Effects</b>\n<c=af4141>Enemies within 12000 m radius\nAffected ships cannot jump to hyperspace\nShips already in hyperspace forced to return to normal space\n\n<c=9d9ddf>Cost: 2200 RUs\nBuild Time: 60 s\nMaintenance: 50 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Gravity Well projection system, prevents hostile ships from entering or traveling through hyperspace (ships in hyperspace are forced back to normal space) in the affected area. Note that ships traveling via hyperspace gates are unaffected
10944	Cloak Generator
10945	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Carrier & Allies within 2000 m radius\nHidden from detection by most standard sensors</c>\n\n<c=9d9ddf>Cost: 2400 RUs\nBuild Time: 160 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=f0d100>Build: Spy</c>\n<c=149ca4>Research: Cloak Upgrades</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Electromagnetic signature manipulation device; when activated, generates a field which temporarily refracts and redirects enemy sensors and visible light around affected ships, effectively masking them from sensors and sight
10946	Anti-Radiation Field
10947	Uses 1 Module slot\n\n<b>Effects</b>\n<c=41af41>Carrier & Allies within 2250 m radius\n-90% Nebula and Dust Cloud sensitivity</c>\n\n<c=9d9ddf>Cost: 2600 RUs\nBuild Time: 40 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Anti-Radiation Upgrades (Capital Ship)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Enables Anti-Radiation Field; protects carrier ship and nearby allied ships from the damaging effects of high-energy particles in nebulae
10948	Ablative Shield Module
10949	Uses 1 Special slot\n\n<b>Effects</b>\nCarrier & Allies within 2400 m radius\nProtection from enemy weapons</c>\n\n<c=9d9ddf>Cost: 4000 RUs\nBuild Time: 180 s\nMaintenance: 120 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Enables Mothership to use the Ablative Defense Shield, a temporary but omnidirectional protective barrier against most forms of weaponry. The shield lasts until all onboard shield capacitors are exhausted. Activation requires a minimum amount of available energy and authorization by a Fleet Command (default: T)
10950	Uses 1 Special slot\n\n<b>Effects</b>\nCarrier & Allies within 2400 m radius\nProtection from enemy weapons</c>\n\n<c=9d9ddf>Cost: 2000 RUs\nBuild Time: 90 s\nMaintenance: 120 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Science Division</c>\n\n<b>Description:</b> Enables the Power Station to generate a Ablative Defense Shield, providing temporary protection from most enemy weapons. While active, the shield depletes onboard capacitors until all avaiable shield energy is exhausted. Activation requires a minimum amount of available energy in capacitors and authorization by Command (default T)
10951	Power Disruptor
10952	Uses 1 Module slot\n\n<b>Effects</b>\n<c=af4141>Enemies within 6750 m radius\n-20% Weapon Damage\n-30% Weapon Aim\n-20% Speed\n-8% Drive</c>\n\n<c=9d9ddf>Cost: 3000 RUs\nBuild Time: 100 s\nMaintenance: 50 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: EMP Weapons (Fighters, Frigates)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Contains a suite of ECM and computer disruption systems, capable of diminishing the effectiveness of most systems on enemy ships, reducing their ability to operate to their normal ability within the afflicted area
10953	Tactical Ion Cannon
10954	Uses 1 Special slot\n\n<c=ff1919>Damage: 4000 (when upgraded)\nRoF: 50 s\nRange: 11000 m (when upgraded)\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 300 s\nMaintenance: 150 RUs/year</c>\n\n<b>Unlock</b>\n<c=149ca4>Research: Heavy Ion Cannon Power and Range: upgrades (Capital Ship)</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Heavy Ion Cannon (to fire press the Z key or the related command icon)
10955	Uses 1 Special slot\n\n<c=ff1919>Damage: 5000 (when upgraded)\nRoF: 50 s\nRange: 12000 m (when upgraded)\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 300 s\nMaintenance: 150 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Heavy Ion Cannon (to fire press the Z key or the related command icon)
10956	Uses 1 Special slot\n\n<c=ff1919>Damage: 6000 (when upgraded)\nRoF: 50 s\nRange: 13000 m (when upgraded)\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 300 s\nMaintenance: 150 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Heavy Ion Cannon (to fire press the Z key or the related command icon)
10957	Uses 1 Special slot\n\n<c=ff1919>Damage: 7000 (when upgraded)\nRoF: 50 s\nRange: 14000 m (when upgraded)\n\n<c=9d9ddf>Cost: 7000 RUs\nBuild Time: 300 s\nMaintenance: 150 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Engineering Division</c>\n\n<b>Description:</b> Advanced Anti-Capital Ship Heavy Ion Cannon (to fire press the Z key or the related command icon)
10958	Fast Plasma Cannon
10959	Uses 1 Special slot\n\n<c=ff1919>Damage: 500\nRoF: 1 s\nRange: 8500 m</c>\n\n<c=9d9ddf>Cost: 2500 RUs\nBuild Time: 200 s\nMaintenance: 100 RUs/year</c>\n\n<b>Prerequisite</b>\n<c=e7bd59>Mothership and support stations (Research/Crew/Power/Weapon) docked to the Gujking Shipyard\nScience Division</c>\n\n<b>Description:</b> Advanced Anti-Fighter/Corvette weapon
